Sample_ID,AE Fraction,SE Fraction,Fe 56,P 31,Co 59,Zn 66,Ni 60,Cu 63,Al 27,Ti 48,V 51,Cr 52,Mn 55,Fe 57,As 75,Mo 95
190125_5_38,300,38,6.914,6.35,0.024,37.707,5.878,1.1,93.9,0.702,0.393,4.184,0.719,7.089,-0.135,0.107
190125_6_7,400,7,1.11,2.812,-0.008,4.839,3.97,0.052,1.242,0.032,0.354,0.894,0.52,1.148,-0.145,1.688
190125_6_8,400,8,0.448,1.735,-0.006,-0.544,3.836,0.131,0.221,0.044,0.357,0.666,0.489,0.419,-0.146,0.032
190125_6_9,400,9,0.45,2.966,-0.009,0.624,3.896,0.044,0.153,0.063,0.375,0.671,0.494,0.466,-0.146,0.278
190125_6_10,400,10,0.56,1.427,-0.008,1.571,3.765,0.237,0.447,0.037,0.34,0.65,0.488,0.611,-0.151,0.182
190125_6_11,400,11,0.967,13.53,-0.01,0.509,3.78,0.016,0.215,0.041,0.343,0.656,0.786,0.996,-0.152,0.054
190125_6_12,400,12,8.238,645.171,0.041,3.861,4.619,0.404,0.584,0.088,0.348,0.715,3.965,8.419,-0.141,0.536
190125_6_13,400,13,7.029,719.479,0.039,9.573,4.755,0.487,1.591,0.139,0.342,0.741,4.219,7.089,-0.145,0.148
190125_6_14,400,14,43.065,99.376,0.022,8.152,3.163,0.136,0.112,0.105,0.231,0.45,1.61,42.967,-0.152,0.074
190125_6_15,400,15,158.956,96.043,0.147,31.354,3.761,0.632,0.139,0.079,0.296,0.498,3.045,159.34,-0.154,0.155
190125_6_16,400,16,77.159,38.248,0.213,22.769,2.678,0.803,0.03,0.116,0.167,0.336,1.618,78.04,-0.157,0.18
190125_6_17,400,17,37.868,21.376,0.141,12.984,2.244,0.896,-0.107,0.088,0.114,0.262,0.962,38.232,-0.156,0.085
190125_6_18,400,18,27.465,17.017,0.141,13.471,2.669,0.954,0.386,0.191,0.134,0.358,1.004,27.124,-0.154,0.065
190125_6_19,400,19,27.472,18.556,0.138,20.406,4.071,1.708,1.023,0.181,0.274,0.613,1.402,27.672,-0.151,0.149
190125_6_20,400,20,15.796,14.761,0.064,8.955,3.238,0.763,0.304,0.091,0.199,0.484,0.911,15.655,-0.149,0.056
190125_6_21,400,21,13.673,20.761,0.067,7.167,3.823,0.643,0.249,0.099,0.229,0.607,0.953,13.614,-0.141,0.087
190125_6_22,400,22,11.287,67.991,0.111,7.447,5.122,0.584,0.249,0.11,0.238,0.71,0.965,11.142,-0.135,0.152
190125_6_23,400,23,9.076,112.197,0.11,6.321,5.015,0.392,0.215,0.1,0.22,0.71,0.88,9.159,-0.141,0.814
190125_6_24,400,24,7.744,101.684,0.082,4.483,4.163,0.301,0.167,0.099,0.193,0.724,0.799,7.702,-0.138,0.718
190125_6_25,400,25,6.361,60.043,0.059,7.335,4.494,0.421,0.132,0.113,0.18,0.707,0.869,6.296,-0.122,1.067
190125_6_26,400,26,5.497,48.402,0.039,6.534,4.656,0.214,0.235,0.119,0.239,0.702,0.856,5.568,-0.138,0.277
190125_6_27,400,27,5.267,26.248,0.027,3.331,4.334,0.167,0.276,0.109,0.276,0.678,0.726,5.381,-0.143,0.476
190125_6_28,400,28,4.388,16.299,0.018,1.357,4.02,0.124,0.228,0.055,0.281,0.667,0.661,4.425,-0.135,0.145
190125_6_29,400,29,3.775,11.068,0.013,3.307,4.035,0.099,0.215,0.174,0.288,0.663,0.638,3.812,-0.132,0.135
190125_6_30,400,30,3.444,9.786,0.01,6.691,3.948,0.123,0.215,0.132,0.287,0.641,0.616,3.416,-0.141,0.098
190125_6_31,400,31,3.172,6.453,0.008,2.339,3.869,0.105,0.386,0.032,0.284,0.651,0.587,3.311,-0.133,1.12
190125_6_32,400,32,2.664,4.709,0.002,1.443,3.861,0.057,0.235,0.048,0.283,0.621,0.559,2.664,-0.146,0.075
190125_6_33,400,33,2.076,5.325,0,3.964,3.794,0.045,0.215,0.062,0.278,0.637,0.552,2.127,-0.149,0.076
190125_6_34,400,34,1.88,5.325,-0.001,8.404,3.853,0.038,0.304,0.055,0.302,0.648,0.567,1.964,-0.154,0.106
190125_6_35,400,35,1.678,3.786,-0.001,0.776,3.765,0.025,0.146,0.051,0.274,0.605,0.54,1.649,-0.152,0.083
190125_6_36,400,36,1.546,3.376,-0.002,0.35,3.808,0.025,0.112,0.05,0.295,0.63,0.554,1.62,-0.141,0.047
190125_6_37,400,37,1.402,4.145,-0.003,0.919,3.691,0.014,0.174,0.052,0.294,0.64,0.536,1.428,-0.149,0.576
190125_6_38,400,38,1.362,4.556,-0.004,0.972,3.771,0.02,0.187,0.104,0.303,0.643,0.529,1.404,-0.149,0.035
190125_7_7,500,7,0.751,2.915,-0.007,-0.187,3.844,-0.032,0.256,0.134,0.319,0.656,0.598,0.798,-0.148,0.041
190125_7_8,500,8,0.732,3.12,-0.009,1.465,3.806,0.194,0.379,0.094,0.331,0.657,0.6,0.78,-0.151,0.042
190125_7_9,500,9,0.704,3.12,-0.01,4.081,3.782,0.001,0.228,0.176,0.312,0.626,0.599,0.728,-0.148,0.549
190125_7_10,500,10,0.712,3.171,-0.01,0.483,3.647,0.02,0.338,0.184,0.301,0.604,0.586,0.757,-0.151,4.334
190125_7_11,500,11,1.408,8.197,-0.001,0.984,3.722,0.019,0.228,0.007,0.303,0.609,0.734,1.492,-0.141,3.482
