Sample_ID,AE Fraction,SE Fraction,75As,27Al,47Ti,48Ti,51V,52Cr,55Mn,56Fe,57Fe,59Co,60Ni,63Cu,66Zn,95Mo,111Cd,208Pb
210929_IC_SEC_0to50_5,50,5,0.0,3.7,0.3,3.8,0.1,0.3,1.7,2.3,2.2,0.1,2.3,0.5,2.6,0.2,0.0,0.0
210929_IC_SEC_0to50_6,50,6,0.0,3.3,0.3,3.9,0.1,0.2,1.4,3.2,3.0,0.1,1.9,0.4,2.6,0.2,0.0,0.0
210929_IC_SEC_0to50_7,50,7,0.0,3.3,0.2,3.9,0.1,0.3,1.6,2.2,1.9,0.1,2.1,0.4,2.5,0.2,0.0,0.0
210929_IC_SEC_0to50_8,50,8,0.0,3.1,0.3,3.7,0.1,0.2,1.6,2.2,2.0,0.1,2.2,0.4,2.7,0.2,0.0,0.0
210929_IC_SEC_0to50_9,50,9,0.0,10.8,0.3,4.5,0.1,0.3,1.6,2.5,2.3,0.1,2.1,0.5,3.1,0.2,0.0,0.0
210929_IC_SEC_0to50_10,50,10,0.0,3.2,0.3,4.0,0.1,0.2,1.6,2.2,2.1,0.1,2.1,0.4,2.5,0.3,0.0,0.0
210929_IC_SEC_0to50_11,50,11,0.0,10.9,0.3,4.6,0.1,0.2,1.6,2.8,2.7,0.1,2.1,0.5,2.7,0.2,0.0,0.0
210929_IC_SEC_0to50_12,50,12,0.0,3.3,0.3,4.2,0.1,0.3,1.5,2.5,2.3,0.1,2.1,0.5,7.6,0.2,0.0,0.0
210929_IC_SEC_0to50_13,50,13,0.0,3.6,0.3,4.3,0.1,0.2,1.5,2.4,2.3,0.1,2.1,0.4,2.6,0.2,0.0,0.0
210929_IC_SEC_0to50_14,50,14,0.0,3.4,0.3,4.3,0.1,0.2,1.5,2.3,2.1,0.1,2.1,0.4,2.6,0.2,0.0,0.0
210929_IC_SEC_0to50_15,50,15,0.0,3.4,0.3,4.4,0.1,0.2,1.5,2.4,2.2,0.1,2.2,0.5,2.7,0.2,0.0,0.0
210929_IC_SEC_0to50_16,50,16,0.0,4.7,0.3,5.4,0.2,1.1,1.5,8.4,8.2,0.1,2.1,0.7,3.6,0.3,0.0,0.0
210929_IC_SEC_0to50_17,50,17,0.0,3.2,0.3,3.7,0.1,0.2,0.6,1.8,1.5,0.0,1.2,0.4,2.6,0.2,0.0,0.0
210929_IC_SEC_0to50_18,50,18,0.0,2.9,0.3,3.8,0.1,0.2,0.9,2.7,2.4,0.1,1.6,0.4,2.7,0.2,0.0,0.0
210929_IC_SEC_0to50_19,50,19,0.0,3.2,0.2,3.8,0.1,0.3,1.1,2.1,1.9,0.1,2.3,0.5,2.6,0.2,0.0,0.0
210929_IC_SEC_0to50_20,50,20,0.0,3.4,0.2,3.8,0.1,0.2,1.3,2.1,1.8,0.1,2.2,0.4,2.9,0.3,0.0,0.0
210929_IC_SEC_0to50_21,50,21,0.0,3.5,0.2,4.1,0.1,0.2,1.2,2.1,2.0,0.1,2.1,0.4,5.6,0.2,0.0,0.0
210929_IC_SEC_0to50_22,50,22,0.0,3.6,0.3,4.0,0.2,0.2,1.0,3.0,2.7,0.1,2.0,0.4,7.0,0.3,0.0,0.0
210929_IC_SEC_0to50_23,50,23,0.0,3.5,0.3,4.2,0.1,0.2,1.4,2.2,2.0,0.1,2.1,0.4,2.7,0.2,0.0,0.0
210929_IC_SEC_0to50_24,50,24,0.0,3.4,0.3,3.8,0.1,0.2,1.8,2.2,1.9,0.1,2.1,0.4,2.6,0.2,0.0,0.0
210929_IC_SEC_0to50_25,50,25,0.0,3.3,0.2,4.1,0.1,0.2,1.5,2.2,2.0,0.1,2.1,0.4,2.7,0.2,0.0,0.0
210929_IC_SEC_0to50_26,50,26,0.0,3.4,0.2,4.3,0.1,0.2,1.8,2.4,2.2,0.1,2.2,0.4,2.7,0.2,0.0,0.0
210929_IC_SEC_0to50_27,50,27,0.0,3.5,0.3,4.2,0.1,0.2,1.7,2.4,2.2,0.1,2.1,1.9,4.0,0.2,0.0,0.1
210929_IC_SEC_0to50_28,50,28,0.0,4.4,0.4,5.0,0.1,0.3,1.7,4.5,4.3,0.1,2.1,0.7,3.9,0.2,0.0,0.0
210929_IC_SEC_0to50_29,50,29,0.0,3.4,0.3,3.7,0.1,0.2,1.8,2.2,2.1,0.1,2.2,0.4,2.5,0.2,0.0,0.0
210929_IC_SEC_0to50_30,50,30,0.0,3.2,0.2,3.9,0.1,0.2,1.3,2.1,1.9,0.1,1.9,0.4,2.6,0.4,0.0,0.0
210929_IC_SEC_0to50_31,50,31,0.0,3.1,0.2,3.7,0.1,0.2,1.4,2.1,1.9,0.1,2.1,0.4,2.4,0.7,0.0,0.0
210929_IC_SEC_0to50_32,50,32,0.0,3.4,0.3,3.8,0.1,0.2,1.4,2.2,2.0,0.1,2.2,0.4,2.5,0.8,0.0,0.0
210929_IC_SEC_50to100_1,100,1,0.0,3.7,0.2,4.1,0.1,0.2,1.1,2.3,2.1,0.1,2.2,0.4,2.7,0.3,0.0,0.0
210929_IC_SEC_50to100_2,100,2,0.0,2.9,0.3,3.9,0.1,0.2,1.1,2.2,2.0,0.1,2.2,0.4,2.5,0.3,0.0,0.0
210929_IC_SEC_50to100_3,100,3,0.0,4.0,0.3,4.4,0.1,0.2,1.1,3.2,3.1,0.1,2.2,0.5,3.6,0.2,0.0,0.0
210929_IC_SEC_50to100_4,100,4,0.0,3.1,0.2,4.0,0.1,0.2,1.1,2.3,2.2,0.1,2.2,0.4,2.6,0.2,0.0,0.0
210929_IC_SEC_50to100_5,100,5,0.0,3.7,0.3,4.1,0.1,0.2,1.2,3.0,2.9,0.1,2.3,0.5,3.0,0.2,0.0,0.0
210929_IC_SEC_50to100_6,100,6,0.0,3.5,0.2,4.2,0.1,0.3,1.2,3.3,3.1,0.1,2.3,0.5,3.0,0.2,0.0,0.0
210929_IC_SEC_50to100_7,100,7,0.0,4.4,0.3,4.1,0.1,0.2,1.1,2.4,2.2,0.1,2.3,0.5,2.9,0.2,0.0,0.0
210929_IC_SEC_50to100_8,100,8,0.0,4.5,0.4,5.5,0.1,0.2,1.1,5.0,4.8,0.1,2.2,0.6,4.0,0.2,0.0,0.0
210929_IC_SEC_50to100_9,100,9,0.0,3.6,0.2,3.7,0.1,0.2,1.3,2.8,2.7,0.1,2.3,0.4,2.8,0.4,0.0,0.0
210929_IC_SEC_50to100_10,100,10,0.0,3.1,0.3,3.9,0.1,0.2,0.9,2.1,1.9,0.0,2.0,0.4,2.6,3.7,0.0,0.0
210929_IC_SEC_50to100_11,100,11,0.0,3.1,0.3,3.8,0.1,0.2,1.0,2.2,2.0,0.1,2.1,0.4,2.6,157.0,0.0,0.0
210929_IC_SEC_50to100_12,100,12,0.0,4.7,0.3,3.9,0.1,0.2,1.0,2.3,2.1,0.0,2.2,0.4,2.6,0.4,0.0,0.0
210929_IC_SEC_50to100_13,100,13,0.0,3.8,0.3,4.0,0.1,0.2,1.1,4.3,4.1,0.1,2.2,0.5,2.8,0.3,0.0,0.0
210929_IC_SEC_50to100_14,100,14,0.0,3.3,0.2,3.9,0.1,0.2,1.0,2.2,2.1,0.0,2.2,0.4,2.6,0.3,0.0,0.0
210929_IC_SEC_50to100_15,100,15,0.0,4.7,0.3,4.3,0.1,0.2,1.0,2.4,2.3,0.0,2.2,0.4,2.8,0.2,0.0,0.0
210929_IC_SEC_50to100_16,100,16,0.0,3.0,0.3,3.9,0.1,0.3,0.9,2.4,2.3,0.0,2.2,0.4,2.7,0.2,0.0,0.0
210929_IC_SEC_50to100_17,100,17,0.0,2.9,0.3,4.4,0.1,0.2,0.5,2.0,1.8,0.0,1.2,0.4,3.1,0.2,0.0,0.0
210929_IC_SEC_50to100_18,100,18,0.0,3.5,0.2,4.1,0.1,0.2,0.8,2.4,2.3,0.0,2.0,0.7,7.5,0.2,0.0,0.0
210929_IC_SEC_50to100_19,100,19,0.0,3.8,0.3,4.1,0.1,0.4,1.0,3.8,3.7,0.0,2.4,0.5,2.9,0.2,0.0,0.0
210929_IC_SEC_50to100_20,100,20,0.0,4.4,0.4,4.7,0.1,0.2,0.9,2.9,2.7,0.0,2.1,0.5,4.4,0.2,0.0,0.0
210929_IC_SEC_50to100_21,100,21,0.0,150.2,0.2,3.7,0.1,0.2,0.8,2.2,2.1,0.0,2.4,0.5,2.7,0.3,0.0,0.0
210929_IC_SEC_50to100_22,100,22,0.0,3.7,0.3,3.9,0.1,0.2,0.6,2.0,1.8,0.0,1.8,0.5,2.9,1.5,0.0,0.0
210929_IC_SEC_50to100_23,100,23,0.0,3.3,0.3,3.8,0.2,0.2,0.7,1.9,1.8,0.0,2.1,0.5,2.7,122.5,0.0,0.0
210929_IC_SEC_50to100_24,100,24,0.0,3.3,0.2,4.0,0.1,0.2,1.2,2.2,2.0,0.0,2.2,0.5,2.8,0.4,0.0,0.0
210929_IC_SEC_50to100_25,100,25,0.0,3.6,0.3,4.0,0.1,0.2,1.1,2.4,2.3,0.0,2.2,0.5,42.0,0.2,0.0,0.0
210929_IC_SEC_50to100_26,100,26,0.0,3.5,0.2,4.2,0.1,0.2,1.1,2.7,2.6,0.0,2.3,0.5,2.9,0.2,0.0,0.0
210929_IC_SEC_50to100_27,100,27,0.0,4.5,0.3,4.4,0.1,0.2,1.1,3.3,3.1,0.0,2.2,0.6,3.0,0.2,0.0,0.0
210929_IC_SEC_50to100_28,100,28,0.0,3.2,0.2,4.1,0.1,0.2,1.1,2.4,2.2,0.0,2.1,0.5,2.9,0.2,0.0,0.0
210929_IC_SEC_50to100_29,100,29,0.0,3.6,0.2,4.2,0.1,0.2,1.1,2.7,2.5,0.0,2.2,0.5,11.1,0.2,0.0,0.0
210929_IC_SEC_50to100_30,100,30,0.0,3.2,0.2,4.2,0.1,0.2,1.0,2.5,2.3,0.0,2.1,0.5,2.8,0.2,0.0,0.0
210929_IC_SEC_50to100_31,100,31,0.0,3.7,0.3,4.4,0.1,0.2,1.1,2.8,2.7,0.0,2.2,0.5,2.8,0.2,0.0,0.0
210929_IC_SEC_50to100_32,100,32,0.0,4.0,0.3,4.7,0.1,0.2,1.0,3.0,2.8,0.0,2.1,0.5,3.4,0.2,0.0,0.0
210929_IC_SEC_100to150_1,150,1,0.0,3.4,0.3,0.7,0.2,0.2,0.8,1.7,1.5,0.0,2.4,0.2,0.8,0.3,0.0,0.0
210929_IC_SEC_100to150_2,150,2,0.0,2.9,0.2,0.7,0.2,0.2,0.8,1.7,1.4,0.0,2.3,0.1,0.6,0.2,0.0,0.0
210929_IC_SEC_100to150_3,150,3,0.0,3.9,0.2,0.7,0.2,0.2,0.8,1.8,1.5,0.0,2.3,0.1,0.6,0.2,0.0,0.0
210929_IC_SEC_100to150_4,150,4,0.0,233.6,0.2,0.7,0.2,0.2,0.9,1.9,1.7,0.0,2.5,0.2,0.7,0.2,0.0,0.0
210929_IC_SEC_100to150_5,150,5,0.0,2.7,0.2,0.7,0.2,0.2,0.7,1.5,1.3,0.0,2.2,0.1,0.5,0.3,0.0,0.0
210929_IC_SEC_100to150_6,150,6,0.0,2.4,0.2,0.7,0.2,0.2,0.7,1.5,1.2,0.0,2.2,0.1,0.5,0.2,0.0,0.0
210929_IC_SEC_100to150_7,150,7,0.0,2.5,0.1,0.8,0.2,0.2,0.7,1.5,1.3,0.0,2.1,0.1,0.6,0.2,0.0,0.0
210929_IC_SEC_100to150_8,150,8,0.0,2.6,0.2,1.0,0.2,0.2,0.7,1.6,1.3,0.0,2.1,0.2,0.6,0.2,0.0,0.0
210929_IC_SEC_100to150_9,150,9,0.0,4.5,0.2,1.3,0.2,0.8,0.8,5.5,5.6,0.0,2.1,0.2,1.6,0.2,0.0,0.0
210929_IC_SEC_100to150_10,150,10,0.0,3.0,0.3,1.4,0.2,0.2,0.7,1.7,1.5,0.0,2.2,0.2,0.8,0.2,0.0,0.0
210929_IC_SEC_100to150_11,150,11,0.0,3.0,0.1,1.4,0.2,0.2,0.7,1.6,1.5,0.0,2.1,0.2,0.9,0.2,0.0,0.0
210929_IC_SEC_100to150_12,150,12,0.0,2.8,0.2,2.5,0.2,0.2,0.7,1.8,1.7,0.0,2.0,0.2,1.5,0.2,0.0,0.0
210929_IC_SEC_100to150_13,150,13,0.0,4.2,0.2,0.6,0.2,0.2,0.6,1.4,1.2,0.0,1.9,0.1,0.6,0.2,0.0,0.0
210929_IC_SEC_100to150_14,150,14,0.0,2.8,0.2,0.6,0.2,0.2,0.6,1.4,1.1,0.0,1.8,0.1,0.4,0.2,0.0,0.0
210929_IC_SEC_100to150_15,150,15,0.0,3.9,0.3,0.9,0.3,0.4,0.9,2.0,1.7,0.0,2.6,0.2,0.9,0.2,0.0,0.0
210929_IC_SEC_100to150_16,150,16,0.0,3.4,0.4,1.1,0.3,0.5,0.9,2.5,2.2,0.1,3.0,0.2,0.8,0.3,0.0,0.0
210929_IC_SEC_100to150_17,150,17,0.0,3.0,0.3,1.0,0.2,0.3,0.5,2.7,2.3,0.0,1.9,0.2,3.0,0.4,0.0,0.0
210929_IC_SEC_100to150_18,150,18,0.0,3.4,0.3,1.0,0.3,0.3,0.7,1.9,1.5,0.0,2.6,0.2,0.8,0.3,0.0,0.0
210929_IC_SEC_100to150_19,150,19,0.0,9.4,0.3,1.2,0.3,0.6,1.3,6.8,6.7,0.1,4.3,0.6,17.3,1.1,0.0,0.1
210929_IC_SEC_100to150_20,150,20,0.0,3.8,0.3,1.4,0.3,0.3,0.9,2.1,1.7,0.0,2.6,0.2,0.9,0.3,0.0,0.0
210929_IC_SEC_100to150_21,150,21,0.0,3.7,0.2,1.5,0.3,0.3,0.8,2.0,1.6,0.0,2.5,0.2,0.9,0.2,0.0,0.0
210929_IC_SEC_100to150_22,150,22,0.0,3.1,0.2,1.2,0.3,0.3,0.5,3.0,2.7,0.0,2.1,0.2,0.8,0.2,0.0,0.0
210929_IC_SEC_100to150_23,150,23,0.0,2.9,0.2,1.0,0.3,0.2,0.3,1.4,1.1,0.0,1.7,0.2,0.6,0.2,0.0,0.0
210929_IC_SEC_100to150_24,150,24,0.0,3.6,0.2,1.1,0.2,0.2,0.9,1.6,1.3,0.0,1.9,0.2,0.9,0.2,0.0,0.0
210929_IC_SEC_100to150_25,150,25,0.0,2.9,0.2,0.9,0.2,0.2,1.0,1.8,1.6,0.0,1.9,0.2,1.2,0.2,0.0,0.0
210929_IC_SEC_100to150_26,150,26,0.0,2.2,0.1,1.2,0.2,0.2,1.3,1.4,1.1,0.0,1.7,0.1,0.5,0.2,0.0,0.0
210929_IC_SEC_100to150_27,150,27,0.0,2.0,0.2,0.8,0.2,0.2,0.9,1.2,0.9,0.0,1.5,0.1,0.4,0.1,0.0,0.0
210929_IC_SEC_100to150_28,150,28,0.0,2.0,0.2,0.6,0.2,0.1,0.7,1.2,0.9,0.0,1.4,0.1,0.4,0.1,0.0,0.0
210929_IC_SEC_100to150_29,150,29,0.0,1.7,0.1,0.5,0.2,0.1,0.6,1.1,0.8,0.0,1.4,0.1,0.4,0.1,0.0,0.0
210929_IC_SEC_100to150_30,150,30,0.0,1.8,0.1,0.5,0.2,0.1,0.6,1.1,0.8,0.0,1.3,0.1,1.6,0.2,0.0,0.0
210929_IC_SEC_100to150_31,150,31,0.0,2.1,0.1,0.6,0.2,0.1,0.5,1.0,0.8,0.0,1.3,0.1,0.4,0.1,0.0,0.0
210929_IC_SEC_100to150_32,150,32,0.0,1.8,0.1,0.9,0.1,0.1,0.5,1.1,0.9,0.0,1.2,0.1,0.5,0.1,0.0,0.0
210929_IC_SEC_150to200_1,200,1,0.0,2.6,0.1,1.3,0.3,0.2,0.6,1.8,1.3,0.0,2.0,0.2,0.9,0.3,0.0,0.0
210929_IC_SEC_150to200_2,200,2,0.0,2.6,0.2,1.0,0.3,0.2,0.6,1.7,1.4,0.0,1.9,0.1,1.5,0.2,0.0,0.0
210929_IC_SEC_150to200_3,200,3,0.0,2.6,0.3,0.9,0.3,0.2,0.6,1.6,1.1,0.0,1.8,0.1,0.6,0.2,0.0,0.0
