Sample_ID,AE Fraction,SE Fraction,Fe 56,P 31,Co 59,Zn 66,Ni 60,Cu 63,Al 27,Ti 48,V 51,Cr 52,Mn 55,Fe 57,As 75,Mo 95
190121_5_36,300,36,0.3664,-0.9424,0.0044,1.1442,0.0379,0.0302,0.0376,6.1441,-0.0605,0.0311,0.0914,0.011,-0.0089,0.0115
190121_5_37,300,37,0.1039,-0.4962,0.0031,-0.2254,0.0251,0.0218,-0.0507,-1.136,-0.0298,0.039,0.0309,0.003,-0.0087,0.0107
190121_5_38,300,38,0.0862,-0.5661,0.0019,-0.048,0.0329,0.0187,0.0106,-1.0701,-0.0544,0.0297,0.0328,0.0022,-0.0091,0.0103
190121_6_7,400,7,0.1099,-0.5445,0.003,0.1397,0.0839,0.0203,0.3074,-1.0261,-0.0177,0.0838,0.0412,0.0013,-0.0103,0.0134
190121_6_8,400,8,-0.0193,-0.2331,0.0007,-0.0372,0.0155,-0.0007,-0.0311,0.0744,-0.0108,0.0144,0.0514,0.0003,-0.0088,0.0095
190121_6_9,400,9,0.0381,-0.2181,-0.0001,0.0444,0.0005,-0.0007,0.067,-0.0825,0.0008,0.0018,0.0457,0.001,-0.0094,0.0083
190121_6_10,400,10,-0.0188,0.4512,-0.0005,-0.0072,-0.016,0.0015,-0.036,0.0081,0.0099,-0.0162,0.0479,-0.0001,-0.0089,0.0102
190121_6_11,400,11,0.0839,0.979,-0.0001,-0.0132,0.0163,0.0086,0.1087,-0.2582,0.0334,-0.0271,0.0487,0.0022,-0.0095,0.0093
190121_6_12,400,12,1.8301,12.7889,0.0135,2.1176,0.4815,0.2387,-0.3009,-1.1565,-0.3566,-0.0464,0.1087,0.0371,-0.0104,0.0103
190121_6_13,400,13,5.8931,20.3313,0.0254,4.0704,0.6247,0.2232,-0.0654,-1.1928,-0.3804,-0.0437,0.1512,0.1006,-0.0101,0.0143
190121_6_14,400,14,40.545,-1.7799,0.0314,3.7719,0.0305,0.2852,-0.4652,-0.9243,-0.4852,-0.3447,0.1269,0.6385,-0.0113,0.0103
190121_6_15,400,15,30.8716,-3.0869,0.086,5.5718,-0.0647,0.2642,-0.5363,-1.0966,-0.5298,-0.4095,0.1111,0.4885,-0.0108,0.0056
190121_6_16,400,16,18.1805,-4.2924,0.092,5.0354,-0.0695,0.5097,-0.4824,-0.3574,-0.5596,-0.42,0.0836,0.2913,-0.0105,0.0076
190121_6_17,400,17,15.0843,-4.9584,0.1695,7.3106,0.4479,0.55,-0.4996,-0.4626,-0.4281,-0.207,0.109,0.2408,-0.0095,0.0145
190121_6_18,400,18,8.3962,-4.5155,0.0617,6.9594,0.4286,0.4756,-0.4873,-0.6563,-0.4632,-0.2639,0.1001,0.1373,-0.0104,0.009
190121_6_19,400,19,5.481,-4.4572,0.038,4.7009,0.1932,0.3583,-0.3352,-1.2693,-0.4835,-0.2281,0.0622,0.0931,-0.0106,0.0082
190121_6_20,400,20,4.419,-4.6637,0.039,3.2312,0.2859,0.2595,-0.5069,-0.8076,-0.4194,-0.1296,0.0524,0.0782,-0.01,0.0107
190121_6_21,400,21,2.7992,-3.2334,0.0616,2.7266,0.2742,0.2,-0.4652,-1.1475,-0.4054,-0.1675,0.0393,0.0512,-0.0106,0.0106
190121_6_22,400,22,1.8866,-1.4502,0.084,2.2489,0.4008,0.1634,-0.4358,-0.7935,-0.4005,-0.1574,0.0389,0.0368,-0.0106,0.0697
190121_6_23,400,23,1.5511,1.685,0.071,1.9827,0.4286,0.1318,-0.4456,-0.8418,-0.42,-0.1469,0.0397,0.0326,-0.0114,0.1148
190121_6_24,400,24,0.8475,-1.372,0.0376,1.4199,0.2429,0.0931,-0.5241,-1.1146,-0.4465,-0.2192,0.0264,0.0223,-0.0095,0.0698
190121_6_25,400,25,0.5878,-3.2751,0.0267,1.3588,0.3343,0.1067,-0.5094,-0.8499,-0.4525,-0.2191,0.0352,0.0184,-0.0105,0.0449
190121_6_26,400,26,0.4125,-3.8645,0.0191,0.9962,0.3156,0.0627,-0.5241,-1.2599,-0.4568,-0.2076,0.0312,0.0153,-0.01,0.0308
190121_6_27,400,27,0.2266,-4.4838,0.0135,1.14,0.128,0.0648,-0.5045,-0.8645,-0.4474,-0.2379,0.0293,0.013,-0.0106,0.0217
190121_6_28,400,28,0.2961,-4.9384,0.0087,1.8425,0.1194,0.0462,-0.4284,0.0077,-0.4303,-0.1564,0.0385,0.0146,-0.0066,0.0135
190121_6_29,400,29,0.0171,-5.1299,0.0078,1.5554,0.0318,0.0302,-0.4873,-0.4664,-0.4347,-0.2203,0.0308,0.0099,-0.0085,0.0133
190121_6_30,400,30,-0.0836,-5.3097,0.006,1.3876,0.0518,0.0309,-0.4971,-0.4284,-0.4414,-0.1877,0.0304,0.0078,-0.0101,0.0129
190121_6_31,400,31,-0.2101,-5.4695,0.0047,1.1682,0.0476,0.0432,-0.345,-1.242,-0.4439,-0.2046,0.0216,0.0053,-0.0101,0.0103
190121_6_32,400,32,-0.3154,-5.313,0.0037,0.7216,0.0118,0.0236,7.2243,-0.9342,-0.4368,-0.2322,0.0231,0.0042,-0.0111,0.0105
190121_6_33,400,33,-0.3191,-5.3413,0.0021,0.5161,0.0059,0.0112,-0.4873,-1.1783,-0.4252,-0.2104,0.0198,0.0038,-0.0108,0.0148
190121_6_34,400,34,-0.3865,-5.5495,0.0021,0.4022,-0.0155,0.0137,-0.4579,-0.7708,-0.4354,-0.214,0.0233,0.0033,-0.0105,0.0091
190121_6_35,400,35,-0.4876,-5.6593,0.0012,0.2655,-0.0401,0.0071,-0.529,-0.9752,-0.4423,-0.2151,0.0211,0.0011,-0.0109,0.0081
190121_6_36,400,36,-0.5044,-5.4812,0.0007,0.2583,-0.0414,0.0078,-0.5192,-1.0603,-0.4341,-0.2037,0.0189,0.0009,-0.0113,0.0081
190121_6_37,400,37,-0.5528,-5.5178,0.0004,0.5964,-0.0529,0.0088,-0.4996,-1.1193,-0.4359,-0.2194,0.0174,0.0002,-0.0111,0.0072
190121_6_38,400,38,-0.5505,-5.6677,0,0.3536,-0.046,0.0043,-0.5143,-0.6866,-0.4408,-0.2157,0.0235,0.0002,-0.0113,0.0087
190121_7_7,500,7,-0.7852,-5.8275,-0.0033,0.0635,-0.0986,0.0316,-0.5045,-0.6554,-0.4377,-0.289,0.0231,-0.0035,-0.0111,0.051
190121_7_8,500,8,-0.8367,-6.034,-0.0013,0.027,-0.1144,-0.007,-0.4971,-0.9923,-0.449,-0.2652,0.0183,-0.0036,-0.0114,0.0063
190121_7_9,500,9,-0.8204,-5.9973,-0.0027,-0.0168,-0.1015,0.0021,-0.5462,-1.0539,-0.4423,-0.2446,0.0192,-0.0045,-0.0111,0.0067
190121_7_10,500,10,-0.7911,-6.1805,0.001,0.0881,-0.1133,-0.0015,-0.5437,-0.8324,-0.4635,-0.2509,0.0204,-0.0031,-0.0112,0.0076
190121_7_11,500,11,-0.8187,-5.9008,-0.0016,0.1672,-0.0705,0.0203,-0.3941,-1.2386,-0.4485,-0.2872,0.0201,-0.0036,-0.0116,0.007
190121_7_12,500,12,-0.0625,-4.5205,0.0014,1.0279,0.0318,0.0562,-0.4628,-0.9897,-0.4506,-0.2596,0.0296,0.0085,-0.0099,0.0074
190121_7_13,500,13,0.3844,-4.6687,0.0087,2.1428,0.0564,0.1121,-0.5143,-1.1142,-0.4485,-0.2889,0.0374,0.014,-0.01,0.0076
190121_7_14,500,14,4.5262,-4.7819,0.2142,4.3958,0.5416,0.1886,-0.3499,-0.3215,-0.3113,-0.0274,0.0914,0.0764,-0.0105,0.0145
190121_7_15,500,15,5.6303,-5.2131,0.1643,5.4573,0.5237,0.2569,-0.4211,-0.6071,-0.3431,-0.0702,0.109,0.095,-0.0106,0.0137
190121_7_16,500,16,5.3106,-5.5628,0.0633,5.4483,0.3744,0.3349,-0.4014,-0.3232,-0.3622,-0.0997,0.0758,0.0879,-0.0105,0.0155
190121_7_17,500,17,2.7329,-5.4462,0.0412,4.7878,0.5392,0.3283,-0.4309,-0.7798,-0.3702,-0.1222,0.3306,0.0509,-0.0105,0.0135
190121_7_18,500,18,2.4758,-5.4579,0.0326,4.7411,0.6536,0.2916,-0.4284,-0.8516,-0.3833,-0.1476,0.2846,0.0479,-0.0103,0.0122
190121_7_19,500,19,2.1624,-5.6643,0.0519,5.0671,0.4345,0.2054,-0.4309,-0.8333,-0.4,-0.1646,0.1569,0.0414,-0.0108,0.0107
190121_7_20,500,20,1.3678,-5.3996,0.0595,5.0719,0.3792,0.1525,-0.4186,-0.7392,-0.4043,-0.1637,0.0944,0.0304,-0.0106,0.0098
190121_7_21,500,21,0.7375,-4.7902,0.0577,3.0832,0.3022,0.1156,-0.4505,-1.0171,-0.3847,-0.1599,0.0675,0.0195,-0.0111,0.0105
190121_7_22,500,22,0.2736,-4.8751,0.0705,1.879,0.2726,0.1003,-0.448,-1.0829,-0.3923,-0.1739,0.0544,0.0129,-0.0108,0.0171
190121_7_23,500,23,0.0557,-4.6537,0.0513,1.5728,0.2178,0.0866,-0.448,-0.3933,-0.4385,-0.1698,0.0569,0.0097,-0.0106,0.021
