Sample_ID,AE Fraction,SE Fraction,Fe 56,P 31,Co 59,Zn 66,Ni 60,Cu 63,Al 27,Ti 48,V 51,Cr 52,Mn 55,Fe 57,As 75,Mo 95
190121_9_18,800,18,6.6449,30.383,0.0294,0.4034,1.3078,0.1786,0.5331,-1.2065,0.1981,0.9391,0.0686,0.0958,-0.0072,0.0549
190121_9_19,800,19,4.5382,16.4752,0.0286,0.3009,1.2564,0.2033,3.5132,-1.1513,0.2271,1.0153,0.0783,0.0622,-0.0068,0.0479
190121_9_20,800,20,3.2668,11.1888,0.0303,-0.0803,1.1426,0.1689,0.5674,-1.1488,0.2991,0.9893,0.0699,0.0398,-0.006,0.036
190121_9_21,800,21,3.0606,9.1342,0.0324,-0.0851,1.1864,0.1434,0.7931,-1.2629,0.3664,1.0875,0.0733,0.0301,-0.0051,0.0338
190121_9_22,800,22,2.7364,9.2924,0.0317,-0.0965,1.1167,0.1358,0.744,-1.3155,0.4246,1.1204,0.0735,0.023,-0.0022,0.0394
190121_9_23,800,23,2.0093,7.0546,0.0278,-0.0641,0.9713,0.1196,0.7121,-1.3728,0.3986,1.0367,0.068,0.0186,-0.0028,0.0442
190121_9_24,800,24,1.884,6.7249,0.023,-0.1714,0.78,0.103,0.565,-1.3288,0.4458,0.9839,0.0685,0.0152,-0.0045,0.0404
190121_9_25,800,25,1.7592,5.1782,0.0246,-0.2505,1.2444,0.1019,0.6753,-1.2993,0.5464,0.913,0.1215,0.014,-0.0042,0.0424
190121_9_26,800,26,1.7152,4.1059,0.0237,-0.2487,1.4673,0.1135,0.7195,-1.242,0.576,0.9377,0.1549,0.014,-0.0033,0.0463
190121_9_27,800,27,1.8246,4.7985,0.0217,0.0653,1.0347,0.1051,1.2248,-1.2753,0.551,0.9416,0.1066,0.0123,-0.0048,0.0384
190121_9_28,800,28,1.8223,5.1632,0.0178,-0.1612,0.8201,0.0894,0.717,-1.3198,0.4985,0.8762,0.0887,0.0108,-0.004,0.0367
190121_9_29,800,29,2.2969,4.7952,0.0171,0.0168,0.7773,0.0913,1.0874,-1.2993,0.5061,0.9347,0.0867,0.0115,-0.0036,0.0352
190121_9_30,800,30,2.1152,5.0416,0.0176,0.2565,0.7557,0.0864,1.0163,-1.1945,0.5308,1.0031,0.0855,0.0122,-0.0038,0.3811
190121_9_31,800,31,2.5768,5.0799,0.0166,2.5348,0.6924,0.1031,1.8502,-1.1979,0.5956,1.0122,0.0814,0.013,-0.004,0.0299
190121_9_32,800,32,2.346,5.4928,0.0168,0.0941,0.695,0.0866,0.901,-0.6238,0.6269,1.0105,0.0801,0.0117,-0.0051,0.0265
190121_9_33,800,33,2.362,6.3853,0.0155,-0.0563,0.6646,0.0808,1.1266,-1.2719,0.6764,0.9895,0.0774,0.0119,-0.0038,0.0274
190121_9_34,800,34,2.4501,6.0706,0.0167,0.2302,0.6213,0.0811,0.9206,-1.2907,0.7073,1.0259,0.0798,0.0126,-0.0041,0.0263
190121_9_35,800,35,2.4618,6.8831,0.0156,-0.0006,0.6328,0.0837,1.0187,-1.2629,0.7682,0.9897,0.0746,0.0113,-0.0048,0.0293
190121_9_36,800,36,2.5781,6.4402,0.0141,-0.1786,0.6183,0.0784,0.8887,-1.3108,0.75,1.0259,0.0804,0.0112,-0.004,0.0323
190121_9_37,800,37,2.6936,6.2804,0.0151,-0.1738,0.6384,0.0777,1.0138,-1.289,0.7335,1.0586,0.078,0.012,-0.0041,0.0293
190121_9_38,800,38,2.7112,7.5108,0.0162,-0.169,0.6103,0.0836,0.8593,-1.2403,0.8216,1.0125,0.0793,0.0121,-0.0035,0.0288
190121_10_7,1000,7,2.6456,6.6683,0.0127,-0.0983,0.5462,0.0762,1.0138,-1.3138,0.7983,0.8823,0.0787,0.0085,-0.0045,0.0283
190121_10_8,1000,8,3.1195,7.4409,0.0127,-0.0348,0.5435,0.0688,1.0555,-1.2728,0.8455,0.9125,0.0834,0.0094,-0.0047,0.0306
190121_10_9,1000,9,2.7903,7.8971,0.0124,0.223,0.5203,0.077,1.6687,-1.2736,0.8619,0.8742,0.0836,0.0096,-0.0039,0.0279
190121_10_10,1000,10,2.9455,7.8921,0.013,0.1409,0.5318,0.0705,1.0702,-1.1389,0.863,0.9073,0.0846,0.0095,-0.0033,0.034
190121_10_11,1000,11,2.8595,41.1189,0.0122,-0.1403,0.5817,0.0979,2.1961,-1.2138,0.9965,0.9087,0.0866,0.0089,-0.0031,0.0326
190121_10_12,1000,12,2.7473,351.5201,0.0143,0.0665,0.8049,0.093,1.6246,-1.2719,1.0413,0.8986,0.1092,0.0072,-0.0031,0.0274
190121_10_13,1000,13,3.2875,306.6234,0.0133,1.2155,0.788,0.0904,1.6466,-1.2612,0.9445,0.8746,0.1118,0.0123,-0.0031,0.0299
190121_10_14,1000,14,3.2773,98.2068,0.0133,-0.163,0.6082,0.0867,1.3425,-1.2941,0.9378,0.9011,0.0945,0.0117,-0.0035,0.0278
190121_10_15,1000,15,3.3735,45.8541,0.0123,-0.0192,0.5494,0.1057,1.7104,-1.1612,1.0871,0.8846,0.0891,0.0132,-0.003,0.0259
190121_10_16,1000,16,3.3007,33.3167,0.0124,-0.2631,0.5769,0.0766,1.2763,-0.8273,1.037,0.8982,0.0889,0.0108,-0.004,0.0268
190121_10_17,1000,17,3.3781,20.1665,0.0127,-0.2763,0.5708,0.0832,1.2468,-1.2557,0.9561,0.9172,0.0921,0.011,-0.0025,0.0274
190121_10_18,1000,18,3.4219,16.7316,0.0121,-0.1822,0.5526,0.0802,1.3008,-1.2899,1.0526,0.903,0.0924,0.0105,-0.003,0.0261
190121_10_19,1000,19,3.4766,15.1615,0.0123,-0.2086,0.516,0.0813,1.3229,-1.2223,1.0566,0.882,0.0921,0.0117,-0.0028,0.0267
190121_10_20,1000,20,3.4387,14.7835,0.0117,-0.1265,0.5157,0.0874,1.2861,-1.2899,1.1305,0.8825,0.0899,0.011,-0.0023,0.0288
190121_10_21,1000,21,3.989,15.1848,0.0129,-0.0485,0.5013,0.0915,1.2395,-1.236,1.1637,0.8857,0.0923,0.0112,-0.0027,0.0284
190121_10_22,1000,22,3.5299,14.2874,0.015,0.0701,0.5195,0.0895,1.2714,-1.1629,1.1935,0.8479,0.0915,0.0111,-0.0012,0.0359
190121_10_23,1000,23,3.3682,15.9108,0.0138,0.3021,0.4984,0.1045,2.2083,-1.2044,1.2961,0.7971,0.0942,0.0105,-0.0016,0.0526
190121_10_24,1000,24,3.4528,15.0932,0.0132,-0.2547,0.3832,0.0857,1.1831,-1.0744,1.3003,0.7708,0.0931,0.0095,-0.0021,0.0346
190121_10_25,1000,25,3.1402,12.5941,0.0143,-0.3255,0.8848,0.1169,1.2493,-0.3818,1.6435,0.7455,0.1769,0.0093,0.002,0.0436
190121_10_26,1000,26,2.9704,11.2221,0.0166,-0.3315,1.2075,0.1524,1.2517,-1.0026,1.8206,0.7552,0.2488,0.0085,0.0029,0.0486
190121_10_27,1000,27,3.5988,10.974,0.0126,-0.2727,0.8027,0.1309,1.5436,-1.0958,1.4242,0.735,0.159,0.01,0.002,0.0368
190121_10_28,1000,28,3.2998,10.5528,0.0098,-0.3398,0.586,0.1044,1.1708,-1.2206,1.1639,0.697,0.1294,0.0071,0.0027,0.0306
190121_10_29,1000,29,3.5042,11.0606,0.0095,-0.2829,0.5318,0.0933,1.3082,-1.2227,1.1652,0.745,0.1157,0.0081,0.0002,0.0291
190121_10_30,1000,30,3.5938,12.1528,0.0101,-0.3225,0.5213,0.0914,1.3548,-1.242,1.2316,0.8121,0.1056,0.0093,0.001,0.0279
190121_10_31,1000,31,3.6007,12.4326,0.0094,-0.2901,0.478,0.0877,1.3008,-1.2617,1.2832,0.8079,0.1016,0.0092,0.0004,0.0279
190121_10_32,1000,32,3.7272,12.8255,0.0115,-0.3015,0.4727,0.0941,1.2542,-1.251,1.2527,0.8523,0.1022,0.0096,-0.0011,0.0271
190121_10_33,1000,33,3.7548,14.3706,0.0101,-0.1379,0.4561,0.0898,1.2395,-1.2009,1.3114,0.8162,0.1022,0.0101,-0.0006,0.0256
190121_10_34,1000,34,3.8413,14.5271,0.0098,-0.2691,0.442,0.0894,1.3548,-1.2386,1.2819,0.8607,0.1003,0.0095,-0.0022,0.0259
190121_10_35,1000,35,3.8977,13.2001,0.0101,0.0593,0.423,0.1315,2.3874,-1.1928,1.246,0.87,0.0956,0.0093,-0.0001,0.0285
190121_10_36,1000,36,3.9446,13.38,0.0109,-0.2122,0.4356,0.0895,1.4112,-1.2548,1.3506,0.8638,0.0971,0.0099,-0.0011,0.026
190121_10_37,1000,37,3.9921,13.7063,0.0095,-0.2607,0.4166,0.0954,1.4651,-1.2869,1.3007,0.8553,0.0975,0.0103,0,0.0249
190121_10_38,1000,38,4.0279,12.9687,0.0101,-0.2356,0.4112,0.1011,1.6785,-1.2531,1.214,0.908,0.098,0.0102,-0.0004,0.0263
